Race,St,Education,Hispanic,Mar,SPM Poor,SPM TenMortStatus,SPM CapHouseSub (AVG),SPM CapWkCCXpns (AVG),SPM EngVal (AVG),SPM FedTax (AVG),Spm Fica (AVG),SPM MedXpns (AVG),SPM NumPer (AVG),SPM Resources (AVG),SPM SchLunch (AVG),SPM SnapSub (AVG),SPM StTax (AVG),SPM Totval (AVG),SPM WICval (AVG)
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Divorced,In poverty,Renter,0,0,0,-1400,0,2310,1,890,0,0,0,1800,0
Asian alone,Alabama,High school degree,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,3682.75,0,10601,10173.75,9710,4,105936.25,306.5,25,5351.75,144950,0
Asian alone,Alabama,High school degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,3624.272727,0,2276.863636,7372.363636,6531.727273,3.363636364,82887.45455,242.8181818,97.27272727,3314.772727,105635.4545,0
Asian alone,Alabama,Some college education,Not Hispanic,Divorced,In poverty,Renter,0,2131.5,0,-7282.5,1331,8525,2,13052,306.5,360,309.5,17400,0
Asian alone,Alabama,College degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,3414.702703,0,19206.18018,10125.48649,5942.936937,3.135135135,119530.1532,245.8108108,6.486486486,5745.027027,163837.9279,0
Asian alone,Alabama,College degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,3480.5625,0,22065.5,10367,5523.125,3.125,127496.0625,153.25,348,6181.9375,174612.5,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Married,Not in poverty,Owner with mortgage,0,3977.75,0,-1669.25,6909.5,9111,2.5,55066,0,0,1630,75025,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Widowed,Not in poverty,Owner with mortgage,0,3959,0,-3653,2907,4111,3,49855,0,1404,1425,57200,0
Asian alone,Alabama,High school degree,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,0,0,0,-1400,0,300,1,23625,0,3000,275,19800,0
Asian alone,Alabama,Some college education,Not Hispanic,Married,In poverty,Owner without mortgage or rent-free,0,2233,0,-4679.333333,1670,8888.666667,2.666666667,10436,0,0,451.6666667,19000,0
Asian alone,Alabama,College degree,Not Hispanic,Widowed,Not in poverty,Owner with mortgage,0,1979,0,4172,3825,700,1,44325,0,0,2199,57200,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,5376.5,0,8610.5,13389.25,6098.25,3.5,99603,153.25,0,4851,137775,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Married,In poverty,Renter,0,0,0,-2800,0,1290,2,12620,0,0,40,11150,0
Asian alone,Alabama,High school degree,Not Hispanic,Divorced,In poverty,Renter,0,1979,0,-3538,1148,12780,2,2678,0,0,454,15500,0
Asian alone,Alabama,High school degree,Not Hispanic,Never married,In poverty,Renter,0,0,0,-1400,0,2300,1,-900,0,0,0,0,0
Asian alone,Alabama,College degree,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,2593.571429,0,28173.71429,9107.857143,3428.714286,2,119424.1429,87.57142857,0,5530.714286,168171.4286,0
Asian alone,Alabama,Some college education,Not Hispanic,Widowed,In poverty,Owner without mortgage or rent-free,0,0,0,-1400,0,10100,1,-4496,0,1404,0,4200,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Married,In poverty,Owner with mortgage,0,2512,0,-12218,2708,2400,4,25791,960.5,0,420,21000,0
Asian alone,Alabama,High school degree,Not Hispanic,Married,In poverty,Owner with mortgage,0,2017,0,-4302,995,500,2,13710,0,0,80,13000,0
Asian alone,Alabama,High school degree,Not Hispanic,Never married,In poverty,Owner with mortgage,0,0,0,-5800,0,45,2,12063,1308,0,0,5000,0
Asian alone,Alabama,High school degree,Not Hispanic,Never married,Not in poverty,Owner with mortgage,0,3959,0,-378,3825,2890,2,37823,0,0,1881,50000,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Widowed,In poverty,Renter,0,0,0,-1400,0,1030,1,4320,0,0,0,3950,0
Asian alone,Alabama,High school degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,3844.5,0,32653.5,9818.5,1686.5,2,122765.75,0,0,6231.5,177000,0
Asian alone,Alabama,College degree,Not Hispanic,Never married,Not in poverty,Owner with mortgage,203.24,2332.4,0,4079.48,4275.24,3124.28,1.32,42005.16,3.84,112.32,2024.56,57521.6,0
Asian alone,Alabama,High school degree,Not Hispanic,Married,Not in poverty,Owner with mortgage,0,2639,0,-1553,7810.666667,7461.333333,3.333333333,64721,408.6666667,0,3059,83266.66667,0
Asian alone,Alabama,Some college education,Not Hispanic,Married,Not in poverty,Owner with mortgage,0,2969,0,11792.33333,6639.833333,7664.833333,2,69905.83333,0,0,3628.333333,102600,0
Asian alone,Alabama,Some college education,Not Hispanic,Divorced,Not in poverty,Renter,0,3959,0,-12133,7771,6700,4,47265,791,0,1535,55000,0
Asian alone,Alabama,High school degree,Not Hispanic,Widowed,Not in poverty,Renter,0,3959,0,-2880,2931,2721,3,30393,0,0,1176,38300,0
Asian alone,Alabama,Some college education,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,3311,0,-1938,10553,9602,5,85688,613,0,3691,109600,0
Asian alone,Alabama,Some college education,Not Hispanic,Never married,Not in poverty,Renter,0,0,0,1695,0,200,1,36475,0,0,1630,40000,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,3959,0,3290,6579.5,8204,3,83961,0,0,3457.5,109450,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Married,Not in poverty,Renter,0,2782.6,0,8130,6693.9,5122,3.1,85010.4,132.2,0,3288,110686,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,3878.55,0,7518.3,8257.3,8009.8,3.7,93795.45,79.85,210,3940.4,125110,0
Asian alone,Alabama,High school degree,Not Hispanic,Divorced,Not in poverty,Renter,0,2728,0,-3746,6298,6877.333333,3.666666667,66678,468,0,2168.333333,80766.66667,0
Asian alone,Alabama,High school degree,Not Hispanic,Married,Not in poverty,Renter,0,3591.909091,0,1772.272727,9012.545455,6955,3.090909091,76179.72727,192.0909091,0,3272.181818,100654.5455,0
Asian alone,Alabama,College degree,Not Hispanic,Divorced,Not in poverty,Renter,0,1979,0,77420,12057.66667,2716.666667,1.333333333,174524.6667,0,0,9101.666667,277800,0
Asian alone,Alabama,College degree,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,0,1979,0,13555.5,7267.5,3510,1,65431,0,0,3256.5,95000,0
Asian alone,Alabama,College degree,Not Hispanic,Married,Not in poverty,Renter,0,3174.162791,0,13870.06977,8593.674419,5621.651163,2.976744186,105360.7442,149.6511628,0,4717.44186,141123.2558,0
Asian alone,Alabama,Some college education,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,2969,0,13686.5,9985.5,2825,3,111648.5,0,0,4986,146100,0
Asian alone,Alabama,Some college education,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,3059.794872,0,4775.692308,7394.897436,6362.589744,3.307692308,87958.84615,431.1025641,239.4871795,3933.307692,112743.5897,0
Asian alone,Alabama,Some college education,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,3007.166667,0,-4724.666667,9330,4929.5,4.166666667,80198.5,526.8333333,928,3179.5,94233.33333,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Never married,Not in poverty,Owner with mortgage,1340.5,989.5,0,-812.5,918,450,1,17044,0,1500,451.5,16200,0
Asian alone,Alabama,Some college education,Not Hispanic,Widowed,Not in poverty,Renter,0,1979,0,26426,459,12372,3,165126,0,0,7239,213600,0
Asian alone,Alabama,College degree,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,1319.333333,0,52680.33333,7200.666667,8489.333333,1.333333333,160399.3333,0,0,7454,237543.3333,0
Asian alone,Alabama,High school degree,Not Hispanic,Married,In poverty,Renter,0,0,0,-2800,0,1959.5,2,13391,0,750,40,11840,0
Asian alone,Alabama,Some college education,Not Hispanic,Married,Not in poverty,Renter,0,3166.043478,0,5180.782609,8073.869565,6514.391304,3,77382.95652,210.4347826,0,3446.652174,103534.7826,19.08695652
Asian alone,Alabama,College degree,Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,2055.5,0,30896.5,18606.5,3017.5,3.5,165247,0,0,8177,228000,0
Asian alone,Alabama,College degree,Hispanic,Never married,Not in poverty,Renter,0,1979,0,-505,3443,3185,3,44738,0,0,1660,54500,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Never married,Not in poverty,Renter,0,7917,0,31879,30914,13140,5,223495,96,0,11752,319000,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Widowed,In poverty,Owner with mortgage,0,0,0,-1400,0,200,1,9240,0,240,0,7800,0
Asian alone,Alabama,Some college education,Hispanic,Separated,Not in poverty,Owner with mortgage,0,2208,0,-1058,2372,4820,2,21631,0,0,1027,31000,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,0,1979,0,19809,9180,1900,1,82901,0,0,4231,120000,0
Asian alone,Alabama,Less than a high school degree,Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,3959,0,-11250,5526,670,5,68705,289,0,2763,68000,0
Asian alone,Alabama,Some college education,Not Hispanic,Never married,Not in poverty,Owner with mortgage,0,2474,0,4221,5581,6423,1.5,37619,0,288,2094.75,58125,0
Asian alone,Alabama,College degree,Not Hispanic,Married,In poverty,Renter,0,1319.333333,0,-7246,1071.333333,7636.666667,3,17090.33333,408.6666667,0,499.3333333,19500,0
Asian alone,Alabama,High school degree,Hispanic,Never married,Not in poverty,Owner with mortgage,0,0,0,-10200,0,0,3,34052,613,19200,0,3600,439
Asian alone,Alabama,College degree,Not Hispanic,Never married,In poverty,Owner without mortgage or rent-free,0,1979,0,-4302,842,17520,2,-5349,0,0,310,11000,0
Asian alone,Alabama,Less than a high school degree,Not Hispanic,Divorced,Not in poverty,Renter,0,3019.666667,0,79789,16112.66667,3590,3,256103.3333,527.3333333,0,13119.33333,371206.6667,0
Asian alone,Alabama,College degree,Not Hispanic,Never married,In poverty,Owner with mortgage,864.8333333,980.4166667,0,-1877.083333,489.0833333,2000,1,5912.416667,0,0,186.5,6826.666667,0
Asian alone,Alabama,High school degree,Not Hispanic,Divorced,In poverty,Owner with mortgage,0,0,0,-1400,0,4520,1,-3120,0,0,0,0,0
Asian alone,Alabama,Some college education,Not Hispanic,Married,In poverty,Owner with mortgage,0,990,0,-2800,192,2850,2,-5232,0,0,0,-4000,0
Asian alone,Alabama,High school degree,Not Hispanic,Married,In poverty,Owner without mortgage or rent-free,0,1027.5,0,-2695.5,1454,8514,1.5,12460,0,0,40,20800,0
Asian alone,Alabama,College degree,Hispanic,Divorced,Not in poverty,Renter,0,1979,0,-505,3443,3185,3,44738,0,0,1660,54500,0
Asian alone,Alabama,Some college education,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,0,0,0,-1400,0,40,1,12264,0,1404,0,9500,0
Asian alone,Alabama,College degree,Not Hispanic,Widowed,Not in poverty,Renter,0,0,0,7670,0,4539.5,1,53916,0,567,1999.25,67557.5,0
Asian alone,Alabama,College degree,Not Hispanic,Never married,Not in poverty,Renter,0,2969,0,6538.5,9754,8870.5,4.5,122265.5,654,0,4389.5,154480,0
Asian alone,Alabama,Less than a high school degree,Hispanic,Widowed,In poverty,Renter,0,76,0,-4302,1154,25740,2,-12820,0,0,152,10000,0
Asian alone,Alabama,College degree,Not Hispanic,Never married,In poverty,Renter,0,0,0,-1400,0,795,1,605,0,0,0,0,0
Asian alone,Alabama,Some college education,Not Hispanic,Separated,Not in poverty,Owner with mortgage,0,5938,0,-2552,8645,6375,5,106828,613,0,3679,128300,0
Asian alone,Alabama,College degree,Not Hispanic,Married,In poverty,Owner with mortgage,1265.2,890.6,100,-5372.2,219,8117.6,2.4,9554.2,0,60,0,11984,0
Asian alone,Alabama,College degree,Not Hispanic,Married,Not in poverty,Owner with mortgage,389.7297297,4302.756757,0,14546.64865,9347.891892,4687.27027,3.027027027,104868.8378,286.972973,129.7297297,4880.540541,141864.8649,0
Asian alone,Alabama,High school degree,Not Hispanic,Never married,Not in poverty,Renter,0,4618.333333,0,-6322.666667,5258.333333,8543.333333,4.666666667,92971.66667,268.3333333,1200,2880,106480,0
Asian alone,Alabama,Some college education,Hispanic,Never married,Not in poverty,Renter,0,1979,0,-505,3443,3185,3,44738,0,0,1660,54500,0
Asian alone,Alaska,Some college education,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,4291.25,0,-6990.5,5665.75,9284.5,4.5,68371.5,0,0,0,80622.5,0
Asian alone,Alaska,Less than a high school degree,Not Hispanic,Separated,Not in poverty,Owner with mortgage,0,1979,0,1214,4945,0,1,29952,0,2100,0,35990,0
Asian alone,Alaska,Some college education,Not Hispanic,Married,Not in poverty,Owner with mortgage,0,6168.714286,0,-1862.857143,7140.285714,6457.428571,3.857142857,78430.85714,432.8571429,0,0,95901.42857,0
Asian alone,Alaska,College degree,Not Hispanic,Separated,Not in poverty,Owner without mortgage or rent-free,0,3959,0,2494,9180,2882,6,173409,224,0,0,191700,0
Asian alone,Alaska,College degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,7764.666667,0,-19084,10288.66667,16635.33333,9,127252.3333,0,0,0,142856.6667,0
Asian alone,Alaska,High school degree,Not Hispanic,Married,Not in poverty,Renter,0,3587.25,0,3351.25,4285.75,8559.25,5.75,131519.5,137,1773,0,148370,739
Asian alone,Alaska,College degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,4047.2,0,33001.84,13288.44,6459.84,3.76,170326.08,156.72,0,0,226966.4,0
Asian alone,Alaska,Some college education,Not Hispanic,Separated,Not in poverty,Renter,0,4035,0,-13778,4514,3968,7,97282,1420,7200,0,87400,0
Asian alone,Alaska,High school degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,3904.5,0,5427.416667,8951.916667,6072.25,4.5,111136.75,130.75,0,0,135172.5,0
Asian alone,Alaska,High school degree,Not Hispanic,Separated,Not in poverty,Owner without mortgage or rent-free,0,609,0,123,1989,2400,1,21779,0,0,0,26900,0
Asian alone,Alaska,College degree,Not Hispanic,Never married,Not in poverty,Renter,0,5062,0,-23310.5,4686.5,7053.5,8.5,81619,236.5,3546,0,69850,1478
Asian alone,Alaska,Some college education,Not Hispanic,Never married,Not in poverty,Owner with mortgage,1129.666667,3324.333333,0,-1558,4266.333333,11208.33333,2.666666667,46719,0,700,0,64463.33333,0
Asian alone,Alaska,Less than a high school degree,Not Hispanic,Widowed,Not in poverty,Owner with mortgage,0,1979,0,-1151,3815,380,2,23917,0,0,0,28940,0
Asian alone,Alaska,High school degree,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,0,4035,0,1893,6097,10450,3,57226,0,0,0,79700,0
Asian alone,Alaska,High school degree,Not Hispanic,Never married,Not in poverty,Renter,0,0,0,-1400,0,1266,1.5,17629,0,1500,0,15995,0
Asian alone,Alaska,Less than a high school degree,Not Hispanic,Widowed,Not in poverty,Renter,0,0,0,-1400,0,2432,1,13058,0,0,0,14090,0
Asian alone,Alaska,High school degree,Not Hispanic,Married,In poverty,Owner without mortgage or rent-free,0,5215,0,-6051,1489,750,3,13668,0,0,0,15070,0
Asian alone,Alaska,Some college education,Not Hispanic,Never married,Not in poverty,Renter,0,5861.666667,0,-9551.333333,8148,12265.66667,7.666666667,134079.6667,157.6666667,2364,0,147296.6667,985.3333333
Asian alone,Alaska,College degree,Not Hispanic,Divorced,Not in poverty,Renter,0,2969,0,6643,5528,2320,1.5,61904.5,0,1520,0,77845,0
Asian alone,Alaska,Some college education,Not Hispanic,Divorced,Not in poverty,Renter,0,989.5,0,2049.5,2104,3346,1.5,48011,0,0,0,56500,0
Asian alone,Alaska,Some college education,Not Hispanic,Married,Not in poverty,Renter,0,10199.1,0,-9930.1,6757.7,7032.5,6.2,100720.5,102.1,1634.4,0,112452,591.2
Asian alone,Alaska,Less than a high school degree,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,4491.5,0,-9764,7111,3915.5,5.5,80971,74.5,0,0,86650,0
Asian alone,Alaska,Less than a high school degree,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,1979,0,32088,10956,2100,2,157477,0,0,0,204600,0
Asian alone,Alaska,College degree,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,0,3007,0,14451,8562.5,6475,2,82355,0,0,0,114850,0
Asian alone,Alaska,Less than a high school degree,Not Hispanic,Married,Not in poverty,Renter,0,2086.833333,0,-7314.666667,7594.666667,7075,4.166666667,71857,1180,0,0,82233.33333,0
Asian alone,Alaska,Some college education,Not Hispanic,Divorced,In poverty,Owner with mortgage,0,1484.5,0,-6160,956.5,6050,1.5,11014,0,350,0,12995,0
Asian alone,Alaska,Less than a high school degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,3562.8,0,-6119.6,5436.4,5714,4.2,66494.4,29.8,0,0,75058,0
Asian alone,Alaska,College degree,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,8678,0,-32972,9504,19803,12,130287,0,0,0,135300,0
Asian alone,Alaska,College degree,Not Hispanic,Never married,Not in poverty,Owner with mortgage,643.5,1484.25,0,7772.5,4516.5,2065,1,48730.25,0,0,0,64275,0
Asian alone,Alaska,High school degree,Not Hispanic,Widowed,Not in poverty,Renter,0,4035,0,-13778,4514,3968,7,97282,1420,7200,0,87400,0
Asian alone,Alaska,Less than a high school degree,Not Hispanic,Separated,Not in poverty,Renter,0,8145,0,-46504,7384,12657,16,143639,473,7092,0,114800,2956
Asian alone,Alaska,Some college education,Not Hispanic,Married,In poverty,Owner without mortgage or rent-free,0,0,0,-2100,0,135,1.5,3665,0,0,0,1700,0
Asian alone,Alaska,Some college education,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,4062.058824,32.35294118,-528,6935.411765,7409,4,89635.76471,353.0588235,0,0,106994.9412,0
Asian alone,Alaska,High school degree,Not Hispanic,Never married,In poverty,Owner with mortgage,0,1294,0,-2226,413,200,1,14209,0,0,0,13890,0
Asian alone,Alaska,High school degree,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,8678,0,-32972,9504,19803,12,130287,0,0,0,135300,0
Asian alone,Alaska,College degree,Not Hispanic,Married,Not in poverty,Owner with mortgage,4879.5,6119.75,0,-6288.5,5161.5,3479.5,5.125,75170.375,532.625,1773,0,76457.5,0
Asian alone,Alaska,Less than a high school degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,1979,0,1627,3825,350,2,58919,0,7200,0,62300,0
Asian alone,Alaska,College degree,Not Hispanic,Married,In poverty,Owner with mortgage,0,2788,0,-10394,1913,9150,3,25033,0,0,0,28490,0
Asian alone,Alaska,Some college education,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,2208,0,-1382,2862,5430,2,34382,0,0,0,43500,0
Asian alone,Alaska,College degree,Not Hispanic,Widowed,Not in poverty,Renter,0,0,0,-1400,0,2482,2,22508,0,0,0,23590,0
Asian alone,Alaska,Some college education,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,0,5253,0,-4846,6063,4650,4,89005,0,8424,0,91700,0
Asian alone,Alaska,College degree,Not Hispanic,Married,Not in poverty,Renter,0,3609.3,0,-2171.6,3006.4,5306.8,3.9,76938.7,215.8,709.2,0,85469,295.6
Asian alone,Alaska,High school degree,Not Hispanic,Married,In poverty,Owner with mortgage,0,1561,0,-1706,153,375,1,2017,0,0,0,3800,0
Asian alone,Alaska,Some college education,Not Hispanic,Married,In poverty,Owner with mortgage,0,2383.5,0,-10606,1530.5,4599,3,25614.5,236.5,540,0,22745,0
Asian alone,Alaska,Some college education,Not Hispanic,Separated,In poverty,Owner without mortgage or rent-free,0,228,0,-6276,107,1725,2,5616,0,0,0,1400,0
Asian alone,Alaska,College degree,Not Hispanic,Separated,Not in poverty,Owner with mortgage,0,3045,0,-2630,4311,11437.5,2.5,42981.5,0,0,0,61945,0
Asian alone,Alaska,High school degree,Not Hispanic,Never married,Not in poverty,Owner with mortgage,0,3635,0,3153.25,5378.5,2736.25,3,79340,236.75,2106,0,91900,0
Asian alone,Alaska,High school degree,Not Hispanic,Married,Not in poverty,Owner with mortgage,0,2968.8,0,-6001,4728.2,2921,3.8,58684.2,511.4,0,0,62790,0
Asian alone,Alaska,Less than a high school degree,Not Hispanic,Never married,Not in poverty,Owner with mortgage,7314,0,7200,-1400,0,50,1,15864,0,0,0,0,0
Asian alone,Alaska,High school degree,Not Hispanic,Divorced,Not in poverty,Renter,0,2969,0,18398.5,9241,4164.5,2,122221.5,0,0,0,156995,0
Asian alone,Alaska,High school degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,5938,0,253,8721,10026,4,91462,0,0,0,116400,0
Asian alone,Alaska,College degree,Hispanic,Married,Not in poverty,Renter,0,3959,0,14415,10787,12120,2,100719,0,0,0,142000,0
Asian alone,Alaska,College degree,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,4415,0,-605,8531,3150,4,98109,0,0,0,113600,0
Asian alone,Alaska,Some college education,Hispanic,Married,Not in poverty,Owner with mortgage,0,5938,0,7892,10466,1342,3,111163,0,0,0,136800,0
Asian alone,Arizona,Some college education,Not Hispanic,Widowed,In poverty,Owner without mortgage or rent-free,0,0,0,-5800,0,1420,2,9705,475,0,-50,4800,0
