Race,St,Education,Hispanic,Mar,SPM Poor,SPM TenMortStatus,SPM CapHouseSub (AVG),SPM CapWkCCXpns (AVG),SPM EngVal (AVG),SPM FedTax (AVG),Spm Fica (AVG),SPM MedXpns (AVG),SPM NumPer (AVG),SPM Resources (AVG),SPM SchLunch (AVG),SPM SnapSub (AVG),SPM StTax (AVG),SPM Totval (AVG),SPM WICval (AVG)
Black alone,Alabama,Less than a high school degree,Not Hispanic,Divorced,In poverty,Owner with mortgage,2610.85,466.2,16,-4603.05,256.85,3263.3,2,13063.55,61.3,1923.071429,33.2,7803,65.85
Black alone,Alabama,High school degree,Not Hispanic,Married,In poverty,Owner without mortgage or rent-free,0,641.6666667,0,-5008.809524,345.8095238,4298.428571,2.80952381,15780.28571,149.8571429,446.6666667,90.04761905,15530,20.9047619
Black alone,Alabama,High school degree,Not Hispanic,Divorced,In poverty,Owner with mortgage,1908.352941,774.6470588,47.35294118,-2602.735294,428.2647059,4240.5,1.558823529,10759.85294,18.02941176,599.5588235,158.2941176,11185.58824,0
Black alone,Alabama,Some college education,Not Hispanic,Separated,Not in poverty,Owner with mortgage,1197.586207,1506.655172,120.6896552,-6835.344828,1777,2084.344828,2.620689655,38432.51724,428.8965517,2082.413793,910.5172414,33955.17241,90.82758621
Black alone,Alabama,Some college education,Not Hispanic,Divorced,In poverty,Renter,0,570.9375,31.25,-4279.5625,791.9375,4604,1.8125,9600.5,274.1875,831.75,181.8125,10305,27.4375
Black alone,Alabama,Some college education,Not Hispanic,Separated,Not in poverty,Renter,0,2340.8125,0,-4037.1875,3314.375,5777.375,2.9375,50847.3125,355,1116.375,1783.75,58527.5,27.4375
Black alone,Alabama,Less than a high school degree,Not Hispanic,Separated,Not in poverty,Owner without mortgage or rent-free,0,2969,0,6591,8062,2711,2.25,75365.25,153.25,336,3241.25,98450,0
Black alone,Alabama,High school degree,Not Hispanic,Widowed,In poverty,Owner with mortgage,2070.583333,494.8333333,6.666666667,-2540.541667,225.7083333,4509.75,1.541666667,8906.583333,25.54166667,666.1666667,117.2083333,8907.916667,36.58333333
Black alone,Alabama,College degree,Not Hispanic,Separated,In poverty,Owner with mortgage,5006,0,0,-2800,0,2260,2,15086,0,2040,0,7500,0
Black alone,Alabama,College degree,Not Hispanic,Divorced,In poverty,Owner with mortgage,701.5714286,1750.857143,0,-8141.428571,896.7142857,3101.428571,2.571428571,15530.14286,0,936.5714286,151.7142857,11651.42857,0
Black alone,Alabama,High school degree,Not Hispanic,Never married,In poverty,Owner with mortgage,1397.784091,1270.477273,26.81818182,-5261.545455,676.1931818,4461.852273,2.295454545,14469.80682,288.8522727,1556.925325,222.5454545,12555.68182,44.89772727
Black alone,Alabama,High school degree,Not Hispanic,Married,In poverty,Owner with mortgage,1892.208333,1514.541667,175.8333333,-5328.166667,903.7083333,5559.916667,3,17489.08333,25.54166667,1471.444444,246.5833333,16747.5,73.16666667
Black alone,Alabama,Less than a high school degree,Not Hispanic,Widowed,In poverty,Owner with mortgage,1898,231.8181818,272.7272727,-3287.090909,328.2727273,4816,2,13436.18182,111.4545455,1349.961039,177,12070,0
Black alone,Alabama,College degree,Not Hispanic,Married,Not in poverty,Owner with mortgage,829.234375,4112.421875,93.75,-2016.09375,5866.046875,4537.125,3.59375,73623.65625,350.6875,1117.21875,2950.75,86667.8125,48.015625
Black alone,Alabama,Less than a high school degree,Not Hispanic,Never married,In poverty,Owner with mortgage,1165.466667,584.4444444,62.88888889,-3832.088889,302.0444444,1485.444444,1.844444444,12207.02222,194.3555556,1979.462698,94.13333333,7454.222222,0
Black alone,Alabama,College degree,Not Hispanic,Married,In poverty,Renter,0,425,0,-2584.5,561,7276.166667,1.666666667,5468.166667,0,1652,144.5,9638.333333,0
Black alone,Alabama,Some college education,Not Hispanic,Widowed,In poverty,Owner with mortgage,1339.153846,79,119.2307692,-3758.307692,86.07692308,1533.307692,1.692307692,11481.84615,188.6153846,1450.615385,15.76923077,6340,0
Black alone,Alabama,Some college education,Not Hispanic,Separated,In poverty,Owner with mortgage,1362.4,791.7333333,0,-5084.2,482.0666667,5136.6,2.333333333,16121.4,257.0666667,2089.55,194.8666667,13933.33333,0
Black alone,Alabama,Some college education,Not Hispanic,Never married,In poverty,Owner with mortgage,1128.5625,1400.828125,13.4375,-5816.609375,933.4375,4414.921875,2.59375,16701.04688,254.359375,1286.5625,276.921875,15152.1875,75.4375
Black alone,Alabama,Some college education,Not Hispanic,Married,In poverty,Owner with mortgage,274.2142857,1771,0,-7285.857143,934.5714286,2907.142857,3,14861.64286,175.1428571,1478.571429,170.7857143,11431.42857,0
Black alone,Alabama,Some college education,Not Hispanic,Divorced,In poverty,Owner with mortgage,1494.142857,807.5,0,-2811.928571,460.1071429,1969.678571,1.571428571,11677.03571,68.60714286,880,157.8214286,9817.5,0
Black alone,Alabama,College degree,Not Hispanic,Widowed,In poverty,Owner without mortgage or rent-free,0,881.8333333,0,-4152.833333,435,4018.166667,1.666666667,11051,16,167.5,138.8333333,12188.33333,0
Black alone,Alabama,Some college education,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,1468.276596,0,-2203.553191,2168.191489,4034.340426,2.191489362,44629.57447,325.1914894,189.1489362,1196.744681,50779.14894,0
Black alone,Alabama,College degree,Not Hispanic,Separated,In poverty,Owner without mortgage or rent-free,0,1132.25,0,-1447,1201,14765.75,1.75,12487,0,450,768.5,28457.5,0
Black alone,Alabama,College degree,Not Hispanic,Never married,In poverty,Owner without mortgage or rent-free,0,630.7142857,0,-2104.857143,557.5714286,6699.285714,1.571428571,4794.714286,87.57142857,253.6,248.7142857,10385.71429,0
Black alone,Alabama,College degree,Not Hispanic,Married,In poverty,Owner without mortgage or rent-free,0,456.6923077,0,-2852.461538,616.0769231,5876.769231,2,12166.07692,0,0,273.9230769,16536.92308,0
Black alone,Alabama,College degree,Not Hispanic,Divorced,In poverty,Owner without mortgage or rent-free,0,372.6666667,38.88888889,-3430.333333,169.5555556,4375.111111,1.777777778,8576,272.4444444,900,145,8996.666667,0
Black alone,Alabama,Less than a high school degree,Not Hispanic,Married,Not in poverty,Owner with mortgage,425.5964912,2262.947368,26.31578947,-4480.929825,2655.719298,2766.122807,2.912280702,45008.17544,195.2631579,1578.45614,1142.684211,47075.08772,53.9122807
Black alone,Alabama,Less than a high school degree,Not Hispanic,Separated,In poverty,Owner with mortgage,1154.166667,329.8333333,0,-2291.5,79.16666667,4550.5,1.166666667,3439.833333,0,789.3333333,18.83333333,4183.333333,0
Black alone,Alabama,High school degree,Not Hispanic,Widowed,In poverty,Owner without mortgage or rent-free,0,213.1,0,-2210.6,45.4,4115,1.4,7839.8,61.3,1464.3,27.8,8505,0
Black alone,Alabama,College degree,Not Hispanic,Married,In poverty,Owner with mortgage,3329.2,647.2,100,-3646,486.8,2842,1.8,13372,0,1768.8,0,8504,0
Black alone,Alabama,Less than a high school degree,Not Hispanic,Never married,Not in poverty,Owner with mortgage,931.7642276,1366.723577,91.05691057,-4503.121951,1692.195122,2204.739837,2.609756098,37903.20325,314.7642276,2183.899187,871.8536585,36046.58537,64.24390244
Black alone,Alabama,Less than a high school degree,Not Hispanic,Married,Not in poverty,Renter,0,1977.324561,9.210526316,-2028.245614,2795.324561,3863.008772,2.912280702,49140.96491,176.1929825,600.5964912,1443.114035,56414.38596,15.40350877
Black alone,Alabama,Less than a high school degree,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,966.15,984.8,63.55,-2276.125,1726.875,2324.125,1.95,30754.475,216.975,2097.3,746.6,30986.75,0
Black alone,Alabama,High school degree,Not Hispanic,Separated,Not in poverty,Owner without mortgage or rent-free,0,1846.090909,0,-788.1818182,3173.409091,5042.136364,2.681818182,45090.59091,27.86363636,543,1662,55435,19.95454545
Black alone,Alabama,High school degree,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,484.6929134,1846.779528,13.77952756,-1589.850394,2226.275591,2575.826772,2.149606299,39403.18898,170.2204724,1195.642295,1146.724409,43741.65354,13.82677165
Black alone,Alabama,Some college education,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,2929.23913,0,2000.427536,5038.666667,4728.434783,2.710144928,64560.91304,199.2391304,269.0724638,2578.246377,81528.4058,6.362318841
Black alone,Alabama,College degree,Not Hispanic,Widowed,Not in poverty,Owner with mortgage,306,1217.857143,0,-2731.285714,1268.857143,1525.285714,1.714285714,32801.71429,175.1428571,509.1428571,807.5714286,33900,0
Black alone,Alabama,High school degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,2823.964392,9.376854599,1513.127596,4485.290801,5538.869436,2.902077151,68112.67656,209.0148368,234.4332344,2522.961424,84541.51335,6.513353116
Black alone,Alabama,Some college education,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,1911.555556,0,641.1203704,3258.361111,3678.138889,2.074074074,51605.42593,185.0833333,224.5925926,1935.314815,62605.64815,8.12962963
Black alone,Alabama,Less than a high school degree,Not Hispanic,Widowed,Not in poverty,Renter,0,728.4166667,14.58333333,940.8645833,1372.208333,2833.145833,1.739583333,37554.8125,28.55208333,474.8125,925.6145833,43837.1875,0
Black alone,Alabama,Some college education,Not Hispanic,Never married,In poverty,Renter,0,268,11.66666667,-2406.833333,250.0416667,2839.666667,1.5,6100.5,25.54166667,507.4166667,84.45833333,6649.583333,0
Black alone,Alabama,College degree,Not Hispanic,Widowed,Not in poverty,Renter,0,850.2741935,19.35483871,2955.677419,1240.564516,4434.032258,1.758064516,54485.3871,50.98387097,118.7903226,1671.758065,65448.54839,0
Black alone,Alabama,Some college education,Not Hispanic,Never married,Not in poverty,Renter,0,2358.292994,11.73248408,-1967.019108,3287.738854,4286.949045,2.630573248,49558.61146,156.8089172,547.4802548,1685.324841,58497.70701,13.98089172
Black alone,Alabama,Less than a high school degree,Not Hispanic,Widowed,In poverty,Owner without mortgage or rent-free,0,329.8888889,50,-1974.111111,212.6666667,2804,1.222222222,6036.111111,0,567.5555556,53.33333333,6844.444444,0
Black alone,Alabama,High school degree,Not Hispanic,Never married,In poverty,Owner without mortgage or rent-free,0,807.2631579,31.57894737,-3612.736842,472.2631579,4776.052632,1.947368421,11972.63158,64.52631579,882.5789474,201.6315789,13638.42105,0
Black alone,Alabama,High school degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,2915.198413,11.26984127,724.1428571,5013.126984,4983.714286,3.134920635,69612.88889,304.8095238,413.3650794,2633.222222,85151.34921,6.968253968
Black alone,Alabama,Less than a high school degree,Not Hispanic,Divorced,In poverty,Renter,0,168.5714286,0,-2334.285714,64.64285714,2573.357143,1.642857143,9118.714286,0,642.8571429,12.57142857,9060.714286,0
Black alone,Alabama,College degree,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,2241.521739,0,5244.695652,5456.26087,5247.021739,2.206521739,65054.13043,152.8804348,108.3913043,2942.086957,85932.17391,0
Black alone,Alabama,Some college education,Not Hispanic,Separated,In poverty,Renter,0,91.4,0,-2564.4,50.6,8238.8,2,8353.4,0,286.4,56.6,13940,0
Black alone,Alabama,Less than a high school degree,Not Hispanic,Married,In poverty,Owner with mortgage,1850.857143,1589.642857,0,-4515.142857,999.7857143,5669.357143,2.714285714,16038.35714,0,330.8571429,242.3571429,18380,62.71428571
Black alone,Alabama,Less than a high school degree,Not Hispanic,Never married,In poverty,Renter,0,130.5833333,27.5,-3525.125,114.5416667,3044,2.166666667,8912.208333,80.625,1425.416667,3.458333333,7167.916667,36.58333333
Black alone,Alabama,High school degree,Not Hispanic,Never married,Not in poverty,Owner with mortgage,719.4539474,2061.898026,66.03289474,-4524.720395,2550.144737,2443.328947,2.598684211,39559.69408,266.7927632,1678.89852,1157.572368,40521.61184,66.42105263
Black alone,Alabama,High school degree,Not Hispanic,Separated,In poverty,Owner with mortgage,432.1538462,606,0,-1871.615385,363.1538462,2750.692308,1.230769231,8474.769231,0,241.5384615,119.7692308,9769.230769,0
Black alone,Alabama,College degree,Not Hispanic,Divorced,In poverty,Renter,0,0,0,-1400,0,2005.4,1,4170.2,0,355.6,0,4420,0
Black alone,Alabama,Some college education,Not Hispanic,Widowed,Not in poverty,Owner with mortgage,617.8928571,1086.107143,32.14285714,298.0714286,2158.035714,1832.892857,1.321428571,29163.35714,0,1249.214286,859.0357143,33498.21429,0
Black alone,Alabama,Less than a high school degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,2291.957746,2.253521127,1590.802817,4155.774648,5730.957746,3.281690141,75224.69014,244.5070423,355.8,2505.788732,90900.84507,6.183098592
Black alone,Alabama,High school degree,Not Hispanic,Married,Not in poverty,Renter,0,1927.111111,3.569023569,-1610.538721,2944.387205,5324.006734,2.69023569,52541.16835,169.1212121,527.6828283,1570.319865,61979.89899,4.434343434
Black alone,Alabama,College degree,Not Hispanic,Never married,Not in poverty,Renter,0,2276.00885,1.415929204,810.699115,3607.150442,5611.778761,2.442477876,56726.79646,180.3716814,220.6283186,2078.610619,70710.79646,3.884955752
Black alone,Alabama,High school degree,Not Hispanic,Separated,In poverty,Owner without mortgage or rent-free,0,447.25,0,-3537,316,2338.5,1.75,7954.75,0,303,73.5,7640,0
Black alone,Alabama,Some college education,Not Hispanic,Married,Not in poverty,Owner with mortgage,259.9534884,3301.03876,3.069767442,-3125.635659,4193.031008,3671.542636,3.085271318,55171.78295,292.8682171,925.1982281,1927.705426,63587.2093,44.24031008
Black alone,Alabama,Some college education,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,440.6,1583.390476,8.476190476,-2605.733333,2093.742857,2348.171429,2.066666667,37505.54286,194.352381,1119.504762,1112.228571,40266.7619,20.9047619
Black alone,Alabama,College degree,Not Hispanic,Separated,Not in poverty,Owner without mortgage or rent-free,0,2093.416667,0,-19.75,3093.5,3160.333333,2,52135.75,371.25,0,1944.75,62000,36.58333333
Black alone,Alabama,College degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,2769.888889,35.04273504,5911.025641,5618.521368,4340.623932,2.179487179,67643.64103,82.33333333,212.2051282,3028.42735,88982.47863,0
Black alone,Alabama,College degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,3306.075988,0,11704.88146,7316.495441,5463.106383,2.920972644,102276.1489,208.556231,95.68389058,4506.881459,134275.5927,0
Black alone,Alabama,High school degree,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,1684.857143,3.265306122,948,2967.306122,4399.142857,2.448979592,53673.02041,182.7142857,215.0204082,1605.081633,64876.32653,0
Black alone,Alabama,High school degree,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,1977.7,18.125,193.4125,3011.1375,4022.525,2.175,50437.175,135.725,472.4875,1755.7125,60765.75,5.4875
Black alone,Alabama,Less than a high school degree,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,1302.391304,0,-528.2173913,1534.173913,4461.217391,2.260869565,49691.52174,30.82608696,413.3913043,1261,57300.43478,38.17391304
Black alone,Alabama,Less than a high school degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,2498.645833,0,-2454.229167,3801.1875,4694.833333,3.354166667,56381.52083,404.4166667,402.25,1932.458333,66033.125,0
Black alone,Alabama,Less than a high school degree,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,1441.777778,0,2045.592593,2379.296296,3571,2.666666667,59552.66667,136.2222222,590.4444444,1968.37037,70215.55556,16.25925926
Black alone,Alabama,Some college education,Not Hispanic,Separated,Not in poverty,Owner without mortgage or rent-free,0,1728.411765,0,-3504,2770.588235,2890.470588,2.235294118,41490.41176,191.6470588,670.0588235,1454.470588,46519.41176,25.82352941
Black alone,Alabama,Less than a high school degree,Not Hispanic,Separated,Not in poverty,Owner with mortgage,978.2105263,1532.526316,92.10526316,-8378.684211,1799.894737,1936.368421,2.736842105,34241.26316,742.0526316,2276,692.2631579,27688.94737,46.21052632
Black alone,Alabama,College degree,Not Hispanic,Separated,Not in poverty,Renter,0,1195.2,0,-2397.8,1970.6,3400.4,3,50567.8,261.6,741.6,1267.2,55000,0
Black alone,Alabama,Less than a high school degree,Not Hispanic,Widowed,Not in poverty,Owner with mortgage,367.475,793.6,137.5,-3350.625,923.5,1541.15,2.225,37197.7,153.275,1302.525,577.925,35980.5,21.95
Black alone,Alabama,College degree,Not Hispanic,Married,Not in poverty,Renter,0,2548.494681,5.585106383,7425.095745,4858.632979,5946.989362,2.622340426,84892.40957,104.212766,58.44680851,3329.670213,108825.4787,0
Black alone,Alabama,College degree,Not Hispanic,Divorced,Not in poverty,Renter,0,1553.716418,6.71641791,3559.746269,3226.701493,4318.38806,1.985074627,59659.08955,160.4179104,220.4776119,2095.940299,74037.31343,19.65671642
Black alone,Alabama,High school degree,Not Hispanic,Widowed,Not in poverty,Renter,0,1168.842697,0,-2312.932584,1335.022472,3480.52809,2.011235955,32778.05618,77.76404494,447.494382,756.5280899,36681.68539,14.79775281
Black alone,Alabama,High school degree,Not Hispanic,Separated,Not in poverty,Renter,0,1635.357143,16.07142857,-1845.321429,2568.964286,3213.535714,2.642857143,45303.78571,344.0357143,905.5714286,1415.5,51175.71429,0
Black alone,Alabama,High school degree,Not Hispanic,Never married,Not in poverty,Renter,0,2107.859813,11.44859813,-2251.443925,2841.803738,4125.53271,2.714953271,43599.99533,158.7757009,673.0859813,1394.476636,50980.04673,14.35981308
Black alone,Alabama,High school degree,Not Hispanic,Divorced,Not in poverty,Renter,0,1478.732484,23.31210191,-1050.853503,2128.675159,2873.452229,2.171974522,41351.40764,83.84076433,631.133758,1252.031847,47289.55414,5.592356688
Black alone,Alabama,Less than a high school degree,Not Hispanic,Separated,Not in poverty,Renter,0,1731.909091,20.45454545,2339,3179.363636,3176.363636,2.636363636,59055,203.1363636,977.2727273,1760.318182,70040.90909,0
Black alone,Alabama,Less than a high school degree,Not Hispanic,Never married,Not in poverty,Renter,0,1834.269663,31.46067416,-1931.808989,2811.089888,3411.202247,2.764044944,47044.83146,115.6179775,837.9438202,1427.853933,53592.69663,19.73033708
Black alone,Alabama,Less than a high school degree,Not Hispanic,Divorced,Not in poverty,Renter,0,1250.903846,50.96153846,-388.25,1900.076923,2771.769231,2.269230769,41875.84615,107.9423077,748.4230769,1039,47538.65385,16.88461538
Black alone,Alabama,Some college education,Not Hispanic,Widowed,Not in poverty,Renter,0,931.8870968,0,-155.8225806,1504.645161,4116.370968,1.838709677,39337.3871,30.98387097,335.9193548,1072.403226,46432.90323,7.080645161
Black alone,Alabama,Some college education,Not Hispanic,Married,Not in poverty,Renter,0,2681.084942,4.671814672,416.0656371,4163.949807,6173.351351,2.988416988,66792.3166,195.2316602,372.4563707,2370.374517,82033.59073,1.694980695
