Race,St,Education,Hispanic,Mar,SPM Poor,SPM TenMortStatus,SPM CapHouseSub (AVG),SPM CapWkCCXpns (AVG),SPM EngVal (AVG),SPM FedTax (AVG),Spm Fica (AVG),SPM MedXpns (AVG),SPM NumPer (AVG),SPM Resources (AVG),SPM SchLunch (AVG),SPM SnapSub (AVG),SPM StTax (AVG),SPM Totval (AVG),SPM WICval (AVG)
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,2910.809524,0,11350.52381,7899.047619,3562.666667,2,82384.09524,58.38095238,338.2857143,3793.857143,111504.2857,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Divorced,In poverty,Renter,0,0,0,-1866.666667,0,1880,1.333333333,2053.333333,0,1600,0,466.6666667,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,High school degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,2834.153846,0,4112.423077,4708.5,6911,2.961538462,65527.30769,221.6153846,267.6923077,2498.038462,86155.76923,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,High school degree,Not Hispanic,Separated,Not in poverty,Owner without mortgage or rent-free,0,4123.666667,0,-9266.333333,4185,11049.33333,5,73642.66667,64.33333333,0,2280.333333,85950,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,2336.125,0,11423.5625,5592.125,5489,2.0625,76212.5625,93.75,0,3345.3125,104348.125,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Divorced,Not in poverty,Owner with mortgage,469.5,1972.428571,0,-1476.428571,3081.892857,3514.107143,2.285714286,43229.42857,483.1071429,1205.857143,1414.75,49602.5,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,High school degree,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,2337.529412,0,-1348,3593.764706,5138.176471,2.588235294,51147.94118,468.0588235,103.2352941,1884.352941,62182.35294,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,3968.918129,6.432748538,12565.30994,9045.233918,5316.608187,3.245614035,105870.3333,223.251462,56.14035088,4881.333333,141382.2222,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Less than a high school degree,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,1979.333333,0,-4955,3672,2778,3.666666667,63136,871.6666667,120,1819,67900,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Hispanic,Divorced,In poverty,Owner without mortgage or rent-free,0,2017,0,-3775,1148,27700,2,1927,0,0,983,30000,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Separated,Not in poverty,Owner without mortgage or rent-free,0,4821.666667,0,1497.333333,6623.666667,7749,3.666666667,80799.33333,0,0,3442.333333,104933.3333,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Less than a high school degree,Hispanic,Widowed,Not in poverty,Owner with mortgage,0,4618.666667,0,-15022.66667,4376,550,5,61707,268.3333333,0,1471,57200,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,1750.857143,0,17271.71429,4481.142857,6755,1.857142857,92955.42857,0,164.5714286,4240.428571,127290,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Married,Not in poverty,Owner with mortgage,691.2631579,2360.605263,84.21052632,-3325.105263,4107,4383.763158,3.605263158,60609.5,520.5789474,1145.052632,2106.289474,68072.36842,23.10526316
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Never married,Not in poverty,Owner with mortgage,768.8947368,1823.736842,0,-2632.315789,2454.736842,2631,2.052631579,35109.05263,161.3157895,977.6842105,1204.736842,38683.15789,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Hispanic,Never married,In poverty,Renter,0,114,0,-2169,34.5,450,1.5,9550,0,4700,20,3300,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,3959,0,805,7345,8924,4,71288,0,0,3680,96000,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Married,Not in poverty,Renter,0,3038.440678,0,15627.08475,6961.271186,6779.288136,2.93220339,107770.3051,375.5084746,163.0169492,4743.474576,144345.9322,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Widowed,Not in poverty,Renter,0,282.7142857,0,1283.285714,1071,9095.857143,1.285714286,46649.42857,0,0,974.8571429,59357.14286,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,High school degree,Hispanic,Divorced,In poverty,Renter,0,990,0,-2287,443,7400,1,10001,0,0,54,16600,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Divorced,Not in poverty,Owner without mortgage or rent-free,0,2774.5,16.07142857,2314.714286,5713.821429,7648.892857,2.928571429,67178.17857,319.25,160.7142857,2798.25,87876.07143,31.35714286
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,High school degree,Hispanic,Married,In poverty,Renter,0,3958.666667,0,-8592.666667,1914,3243.333333,3.666666667,20292,0,0,252,21066.66667,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,High school degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,2632.611765,0,-362.8235294,5380.847059,5945.917647,3.2,69542.96471,395.1647059,139.8770053,2646.811765,85311.29412,5.164705882
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,2967.586207,0,7908.241379,6530.931034,7071.655172,2.724137931,79566.17241,66.24137931,293.3793103,3704.206897,107350,15.13793103
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Widowed,Not in poverty,Owner with mortgage,0,3184.5,0,-4956.333333,3406.666667,5942.333333,3.166666667,55699.16667,204.3333333,1788.5,1499.166667,62666.66667,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Separated,Not in poverty,Owner without mortgage or rent-free,0,1808,0,-5618,1891.75,5730,2.5,32967,480.25,504,755.25,36550,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,2190.555556,0,-3909.222222,2823.888889,4601.777778,3,47825.77778,504,466.6666667,1504.111111,54066.66667,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,High school degree,Hispanic,Married,Not in poverty,Renter,0,3050.428571,61.2244898,-5699.163265,5278.183673,6087.285714,4.06122449,64032.16327,608.7142857,451.3469388,2409.632653,74008.97959,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Less than a high school degree,Hispanic,Never married,Not in poverty,Owner without mortgage or rent-free,0,3374.666667,0,-3486.166667,4146.666667,1095,2.833333333,44994.83333,408.8333333,1450,1760,50026.66667,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Hispanic,Divorced,In poverty,Renter,0,1979,0,-3538,1148,9507,2,12105,0,0,600,21800,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Less than a high school degree,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,2569.307692,0,-3580.769231,4758.884615,4643.846154,3.692307692,68880.07692,602.0769231,266.0979021,2318.961538,78681.15385,67.53846154
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Married,Not in poverty,Owner without mortgage or rent-free,0,3729.255034,3.020134228,2742.758389,6116.167785,5496.57047,3.389261745,79592.24161,319.5369128,125.7986577,3369.006711,100584.0268,8.838926174
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Hispanic,Married,In poverty,Renter,0,1011.5,0,-3536.75,629.25,8978,2.5,12084.5,24,0,545,19687.5,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Separated,Not in poverty,Owner with mortgage,0,723,0,-390.3333333,1912.666667,2626.666667,1.666666667,37481.66667,0,933.3333333,966.3333333,42386.66667,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Widowed,Not in poverty,Owner with mortgage,0,2474.25,0,-10420.25,3098.75,4806,5,61631.25,919.5,180,1409.75,61900,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Married,In poverty,Renter,0,1257.333333,0,-6201.833333,717.1666667,5232,3.333333333,14418,435.8333333,250,130,15098.33333,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,High school degree,Hispanic,Married,In poverty,Owner without mortgage or rent-free,0,1233.2,0,-9192.8,774.8,2000,3.2,19019.6,490.4,1920,41.6,11466,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Not Hispanic,Widowed,In poverty,Renter,0,0,0,-1400,0,120,1,9680,0,0,0,8400,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Some college education,Hispanic,Married,In poverty,Owner without mortgage or rent-free,0,1370.5,0,-3287,1127.5,4480.5,2,15986.5,0,0,222.5,19900,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,Less than a high school degree,Not Hispanic,Never married,In poverty,Renter,0,0,0,-1400,0,155,1.5,9645,0,1050,0,8050,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,College degree,Not Hispanic,Married,Not in poverty,Owner with mortgage,0,3121.9,0,7016.05,5913.85,5418.05,3.8,96344.1,474.2,11,3960.6,121185,0
"Other (American Indian or Alaska Native, Pacific Islander, multiracial)",Alabama,High school degree,Hispanic,Never married,In poverty,Owner without mortgage or rent-free,0,1979,0,-2899,749,240,1,9481,0,0,250,9800,0
