Race,St,Education,Hispanic,Mar,SPM Poor,SPM TenMortStatus,SPM CapHouseSub (AVG),SPM CapWkCCXpns (AVG),SPM EngVal (AVG),SPM FedTax (AVG),Spm Fica (AVG),SPM MedXpns (AVG),SPM NumPer (AVG),SPM Resources (AVG),SPM SchLunch (AVG),SPM SnapSub (AVG),SPM StTax (AVG),SPM Totval (AVG),SPM WICval (AVG)
White alone,Alabama,College degree,Not Hispanic,Widowed,In poverty,Renter,0,165.3448276,0,-1962.482759,136.2758621,5206.896552,1.172413793,4738.931034,24.44827586,173.7931034,60.10344828,8195.172414,0
White alone,Alabama,Some college education,Not Hispanic,Separated,In poverty,Owner with mortgage,0,336.1666667,0,-4456.5,229.5,2222.666667,2,7230.166667,0,770,74.66666667,4866.666667,0
White alone,Alabama,Some college education,Not Hispanic,Separated,Not in poverty,Owner without mortgage or rent-free,0,2163.75,22.5,166.7,4148.35,5341.75,2.55,58673.5,367.95,365.3,2204.6,72012.5,0
White alone,Alabama,College degree,Not Hispanic,Separated,In poverty,Owner without mortgage or rent-free,0,901,0,-10817.33333,390.3333333,1064.333333,3,19729,1022,0,21.33333333,10266.66667,0
White alone,Alabama,Less than a high school degree,Not Hispanic,Divorced,In poverty,Renter,0,377.3541667,25,-2669.0625,377.9583333,4451.5625,1.666666667,7683.0625,52.79166667,621.0208333,111.0416667,9662.291667,0
White alone,Alabama,Less than a high school degree,Not Hispanic,Separated,In poverty,Renter,0,403.5333333,266.6666667,-4565.466667,225.2,5533.866667,2.466666667,10226.66667,163.4666667,1127.866667,100.4,10366,0
White alone,Alabama,High school degree,Not Hispanic,Divorced,In poverty,Renter,0,477.1590909,1.136363636,-2278.045455,292.9431818,3544.829545,1.386363636,5984.556818,23.09090909,286.025974,117.5454545,7844.659091,0
White alone,Alabama,High school degree,Not Hispanic,Widowed,Not in poverty,Owner without mortgage or rent-free,0,1303.764706,7.647058824,1926.982353,2416.282353,5387.835294,1.988235294,52936.31176,118.7764706,107.1058824,1597.717647,65343.52941,0
White alone,Alabama,High school degree,Not Hispanic,Married,In poverty,Renter,0,515.7708333,8.291666667,-3959.916667,376.1875,5930.583333,2.305555556,10027.63889,66.22222222,296.9771825,78.84722222,12635.13889,6.097222222
White alone,Alabama,College degree,Not Hispanic,Divorced,In poverty,Owner without mortgage or rent-free,0,504.5333333,0,-3342.466667,245.2666667,3722.8,1.4,7433.866667,87.2,142.3333333,170.1333333,8504.666667,0
